Wavelength [nm],Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance,Absorbance
205.851,-0.000356285,0.1324978,-0.1618709,0.09284033,-0.06247888,0.1228698,0.01030338,0.05039625,0.04147875,-0.08888816,0.06401473,-0.1013965,-0.03083138,0.1681664,-0.04918547,0.6651922,0.09858379,0.7856307,0.3130639,0.1385839,0.7468984,0.3319787,0.3169426,0.8459814,0.8094559,1.132164,0.5599442
206.289,-0.02036648,0.1716458,-0.1156048,0.1159126,0.00969105,0.1914448,0.0525571,0.142261,-0.06479646,0.04478259,0.07965871,-0.02859136,-0.00992558,0.1704649,-0.03513916,0.2065045,0.03561341,0.2820217,0.02062689,-0.002594663,0.3537505,0.02039734,0.1152336,0.5512857,0.8750858,0.89298,0.6736692
206.727,0.002960604,0.09741545,0.03080047,0.1086961,0.05727523,0.148888,0.1073573,0.07104031,-0.1983355,0.2142965,-0.003431939,0.05338624,-0.04576103,0.1769635,-0.08839352,-0.4500327,0.01429725,-0.494617,-0.5087685,-0.3417981,-0.2238388,-0.4802195,-0.4695423,-0.2873037,-0.134934,-0.2953913,0.284644
207.165,0.06822672,0.1100736,0.1260657,0.2614703,0.06495469,0.0758862,0.1295722,0.061107,-0.1391056,0.1954965,-0.006129388,0.05063434,-0.003837642,0.1781769,-0.04212267,-0.06946931,0.1609204,-0.3201446,-0.3811815,-0.2301257,6,-0.1195165,-0.3142307,-0.08177766,-0.1183732,-0.2142884,6
207.603,0.1357546,0.1006249,0.1267238,0.3149917,0.0819142,-0.003395137,0.1187821,0.1462868,-0.1015692,0.1163953,0.006377839,0.02612015,-0.0103025,0.1506851,-0.002648917,0.735368,0.05662296,-0.209525,-0.3827094,-0.3369347,6,0.1713533,-0.2321524,-0.07978871,-0.06180234,-0.2362465,1.040471
208.040,0.1630556,-0.008937736,0.1107514,0.1802147,0.1093602,-0.170147,0.06364531,0.1142659,-0.1198963,0.0814467,-0.05389792,0.009601959,-0.1145298,0.08875298,-0.05587293,-1.144383,-0.1491575,6,6,6,-1.31424,6,6,6,6,6,-0.3979742
208.478,0.1231943,-0.1375144,0.07371283,-0.01262356,0.123544,-0.3166366,0.01616753,-0.04504819,-0.1229619,0.1045155,-0.1354608,0.0148268,-0.231993,0.02623364,-0.1564358,0.03603127,-0.2973731,0.4633348,6,0.5507528,-0.006911033,0.2764987,6,0.9792741,0.08657505,1.020056,0.07631699
208.916,0.0470235,-0.118497,0.01778362,-0.05234083,0.1071185,-0.2794465,0.0216562,-0.1436515,0.004164563,0.1799334,-0.1078251,0.04886801,-0.2022898,-0.004833176,-0.1617771,-0.002095154,-0.298526,0.03470348,0.2161101,-0.08028019,-0.06863448,0.1113958,1.519889,0.1447043,0.001964729,0.07072428,-0.08990203
209.354,0.02246845,0.1358539,0.03776319,0.185211,0.1177555,-0.06504932,0.07567136,-0.02233439,-0.03379299,0.2737047,0.01568277,0.113268,0.02415307,0.02040927,-0.01508612,0.07292956,-0.08724232,0.04553267,0.184369,-0.003468109,-0.05079783,0.1237374,0.3535518,0.1010272,0.03908177,0.06446319,-0.02099702
209.792,0.041553,0.1628773,0.07034999,0.2438669,0.09358186,-0.03076732,0.07870034,-0.009397964,-0.2146827,0.2789653,-0.06033361,0.122526,0.03892711,0.1141735,0.03001503,0.05575646,-0.04061948,0.1169572,0.1743105,-0.001069555,-0.01681909,0.1257965,0.2537149,0.09510302,0.03636319,0.03370867,-0.003153966
210.230,0.02550356,0.06135319,0.06232093,0.1149989,0.04524685,-0.07881792,0.07803358,-0.08589311,-0.3458805,0.228208,-0.1553296,0.09065136,-0.06326606,0.2375259,0.04278083,0.03048707,-0.1099665,0.1403081,0.2096083,0.02805114,0.001534572,0.1711111,0.1677156,0.1075452,0.06769116,0.01472041,-0.0203579
210.668,-0.006674088,-0.09403281,0.07075556,-0.04897984,0.001928893,-0.156667,0.07508995,-0.1894913,-0.396804,0.1517333,-0.2272028,0.06452856,-0.1757923,0.2884767,-0.01306371,0.06738863,-0.1645152,0.1620721,0.3118396,0.09287654,0.005450072,0.2840656,0.1020445,0.1302291,0.1546905,0.04168113,-0.02482605
211.106,-0.0359096,-0.207094,0.1320306,-0.1079582,-0.02168018,-0.196965,0.05826229,-0.2419104,-0.3376549,0.06580272,-0.2292073,0.05211847,-0.2027885,0.1865414,-0.1394733,0.2589531,-0.1033318,0.2506287,0.4449523,0.1268677,0.001173894,0.4250822,0.07706699,0.1061863,0.2832142,0.1398203,0.02391574
211.544,-0.08986893,-0.2260344,0.09824836,-0.02366852,-0.04115356,-0.1732742,0.002156218,-0.2460603,-0.1399067,-0.03476427,-0.1809445,-0.05214015,-0.1589334,0.06547294,-0.2328539,0.2154945,0.06673428,0.1218636,0.0186133,-0.2389243,-0.02766011,-0.01347427,0.07134718,-0.2050876,0.01215039,0.01313489,-0.0506492
211.982,-0.0739178,-0.1271353,0.0833192,0.1384126,-0.04948501,-0.0941636,-0.02711776,-0.1780898,-0.1890127,-0.01555064,-0.07628813,-0.1510731,-0.04403761,-0.07645131,-0.1599746,0.1043483,-0.05492054,-0.02696659,0.03670169,-0.2790317,0.2213556,-0.1611977,0.4618509,-0.1633899,-0.006597374,0.005568529,-0.03455227
212.420,-0.04659604,-0.06562837,0.1056894,0.2006535,-0.04795155,0.02855752,-0.01186861,-0.0954656,-0.3047502,0.09994428,-0.004659365,-0.1362791,0.03607091,-0.09813559,-0.074708,0.1010641,-0.1880439,-0.08142888,0.1097861,-0.1017345,0.276655,-0.1181274,0.9504167,0.02850681,0.03150743,0.01899819,-0.03845758
